experiment,dataset,state,metric,direction,model,n,mean,std,sk_group
acs_intersectional_age_race,acs_employment,MD,D2race,lower,wrong_d3,10,0.15663244426250458,0.018086375202475538,4
acs_intersectional_age_race,acs_employment,MD,D2race,lower,reweight,10,0.17159036472439765,0.04762301360246381,5
acs_intersectional_age_race,acs_employment,MD,D2race,lower,no_effect,10,0.18927646726369857,0.030410112205196318,5
acs_intersectional_age_race,acs_employment,MD,D3,lower,r4_r1plus,10,0.004337577591650188,0.0008282361601585196,1
acs_intersectional_age_race,acs_employment,MD,D3,lower,r3_intersectional,10,0.01483024014160037,0.0009583793623588809,2
acs_intersectional_age_race,acs_employment,MD,D3,lower,blind,10,0.09241722673177719,0.02182925239547762,3
acs_intersectional_age_race,acs_employment,MD,D3,lower,r1_joint_marginal,10,0.11574343889951706,0.024248488946872992,4
acs_intersectional_age_race,acs_employment,MD,D3,lower,adv,10,0.15401091948151588,0.03783756158663251,5
acs_intersectional_age_race,acs_employment,MD,D3,lower,erm,10,0.1811140425503254,0.06181589989354561,6
acs_intersectional_age_race,acs_employment,MD,D3,lower,reweight,10,0.2028394155204296,0.07043997433385185,6
acs_intersectional_age_race,acs_employment,MD,D3,lower,no_effect,10,0.19029137194156648,0.0371048389332211,6
acs_intersectional_age_race,acs_employment,MD,D3,lower,wrong_d3,10,0.29970050752162936,0.02799039360377352,7
acs_intersectional_age_race,acs_employment,MD,Gsub,lower,r4_r1plus,10,0.03025870118290186,0.0020587192500202017,1
acs_intersectional_age_race,acs_employment,MD,Gsub,lower,r1_joint_marginal,10,0.08602868840098381,0.011955756217068368,2
acs_intersectional_age_race,acs_employment,MD,Gsub,lower,blind,10,0.20999242514371871,0.04903829458083383,3
acs_intersectional_age_race,acs_employment,MD,Gsub,lower,erm,10,0.5052492767572403,0.10289041946769217,4
acs_intersectional_age_race,acs_employment,MD,Gsub,lower,adv,10,0.45918317437171935,0.09886093857554654,4
acs_intersectional_age_race,acs_employment,MD,Gsub,lower,r3_intersectional,10,0.48473394513130186,0.07887278047202001,4
acs_intersectional_age_race,acs_employment,MD,Gsub,lower,wrong_d3,10,0.4321959286928177,0.02894773564020427,4
acs_intersectional_age_race,acs_employment,MD,Gsub,lower,reweight,10,0.5466487228870391,0.12298234259150667,5
acs_intersectional_age_race,acs_employment,MD,Gsub,lower,no_effect,10,0.5769685834646225,0.06532429508422903,5
