experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,sAOD,10,0.04814313428659632,0.011305508319793694,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,sDP,10,0.10222366354884958,0.013029950315362544,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,sEOD,10,0.04041458101658385,0.0135139850005883,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,sEOdds_max,10,0.06932831949861618,0.01527337402078909,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,sFPR,10,0.06816088634071785,0.01686733082719846,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,mechanism,D2age,10,0.021624591574072836,0.0012316213199312623,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,mechanism,D2ar,10,0.0051714773289859295,0.0012713935104104032,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,mechanism,D2race,10,0.008239234890788793,0.0017895604409405028,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,mechanism,D3,10,0.004337577591650188,0.0008282361601585196,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,mechanism,Gsub,10,0.03025870118290186,0.0020587192500202017,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,accuracy,10,0.7021638879035119,0.003186923122227389,higher
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,aod_age,10,0.09661511950816813,0.02030282263916174,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,aod_excess,10,0.01808536308467034,0.006776312770409364,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,aod_race,10,0.027693296137665017,0.009566572205710767,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,auc,10,0.7478630628123325,0.004030320484281247,higher
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,bce,10,0.57537573509371,0.0040226997223637,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,dp_age,10,0.035633931510891746,0.02046422970202247,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,dp_race,10,0.027962315669945947,0.01746568045687536,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,eod_age,10,0.06886199391215178,0.023473636514415287,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,eod_excess,10,0.021075482429298464,0.01367203483108753,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,eod_race,10,0.01566429411313418,0.008722127032120885,lower
