experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_intersectional_age_race,acs_employment,MD,blind,behavior,aod_excess,10,0.04543527608149522,0.021400898920541638,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,aod_race,10,0.08355914848847737,0.07293575663586523,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,auc,10,0.7368954819486679,0.007184878847272058,higher
acs_intersectional_age_race,acs_employment,MD,blind,behavior,eod_age,10,0.02779212146513673,0.02101730655000242,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,eod_excess,10,0.028986253324649436,0.01666775142203797,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,eod_race,10,0.06270680906163052,0.07013027777669893,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,sAOD,10,0.1399298310806897,0.07237653273852124,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,sEOD,10,0.09803604720111983,0.07404825437606274,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,sEOdds_max,10,0.1835196184391518,0.07051429659901676,lower
acs_intersectional_age_race,acs_employment,MD,blind,mechanism,D2age,10,0.09168129414319992,0.024605536095001195,lower
acs_intersectional_age_race,acs_employment,MD,blind,mechanism,D2ar,10,0.09111478514969348,0.022249486932740734,lower
acs_intersectional_age_race,acs_employment,MD,blind,mechanism,D2race,10,0.1011062391102314,0.02521854610265787,lower
