"source_state","target_state","metric_group","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"ALL","ALL","source_threshold_behavior","source_threshold_auc","higher","erm",120,0.846321753651786,0.0106086759421403,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_auc","higher","adv",120,0.845869654825047,0.0102284593674968,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_auc","higher","blind",120,0.843689057057305,0.0120370803530444,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_auc","higher","score_only",120,0.841376242422997,0.00905121693721531,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_auc","higher","no_interaction",120,0.840362431034329,0.00930896822206455,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_auc","higher","repair_main05",120,0.838059537194014,0.0114025381025475,4,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_auc","higher","repair_main0",120,0.83777788495761,0.0141508630458689,4,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_auc","higher","reweight",120,0.835304804915303,0.0108733727118816,5,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_auc","higher","wrong_spec",120,0.831655890405863,0.0105467525850245,6,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_accuracy","higher","blind",120,0.854518526984991,0.0119599586711157,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_accuracy","higher","erm",120,0.853795003070549,0.0132726970409218,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_accuracy","higher","adv",120,0.853417024553362,0.0126055566305458,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_accuracy","higher","score_only",120,0.85115352492822,0.0145355979642408,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_accuracy","higher","no_interaction",120,0.850250834849297,0.0142188515958373,2,"ScottKnottESD","2.0.3"
